Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
,,,,,,,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,,,
2017-01-03,2017,1,3,Tuesday,01,2017-01,14.32,14.69,14.06,14.47,88849500,14.47,,14.47,14.47
2017-01-04,2017,1,4,Wednesday,01,2017-01,14.32,15.2,14.29,15.13,168202500,15.13,0.04608509628379487,14.8,14.8
2017-01-05,2017,1,5,Thursday,01,2017-01,15.09,15.17,14.8,15.12,88675500,15.12,-0.0010573016932267087,14.906666666666666,14.906666666666666
2017-01-06,2017,1,6,Friday,01,2017-01,15.13,15.35,15.03,15.27,82918500,15.27,0.009966895409707854,14.9975,14.9975
2017-01-09,2017,1,9,Monday,02,2017-02,15.26,15.46,15.2,15.42,59692500,15.42,0.009912262252654847,15.081999999999999,15.081999999999999
2017-01-10,2017,1,10,Tuesday,02,2017-02,15.47,15.47,15.13,15.32,54900000,15.32,-0.006096497424114444,15.121666666666668,15.121666666666668
2017-01-11,2017,1,11,Wednesday,02,2017-02,15.27,15.33,15.11,15.32,54762000,15.32,-0.0006090579683538655,15.15,15.15
2017-01-12,2017,1,12,Thursday,02,2017-02,15.27,15.38,15.04,15.31,56853000,15.31,-0.0006094291460314594,15.17,15.17
2017-01-13,2017,1,13,Friday,02,2017-02,15.33,15.86,15.31,15.85,91395000,15.85,0.03554165910672369,15.245555555555557,15.245555555555557
2017-01-17,2017,1,17,Tuesday,03,2017-03,15.78,16.0,15.62,15.71,69262500,15.71,-0.009127294759965876,15.292000000000002,15.292000000000002
2017-01-18,2017,1,18,Wednesday,03,2017-03,15.78,15.98,15.71,15.89,56535000,15.89,0.011800718170465796,15.346363636363636,15.346363636363636
2017-01-19,2017,1,19,Thursday,03,2017-03,16.48,16.58,16.05,16.25,115984500,16.25,0.02265484584252664,15.421666666666667,15.421666666666667
2017-01-20,2017,1,20,Friday,03,2017-03,16.36,16.4,16.2,16.32,63064500,16.32,0.003979211340805033,15.49076923076923,15.49076923076923
2017-01-23,2017,1,23,Monday,04,2017-04,16.39,16.73,16.37,16.59,93943500,16.59,0.017121013222806347,15.569285714285714,15.569285714285714
2017-01-24,2017,1,24,Tuesday,04,2017-04,16.67,16.99,16.64,16.97,74482500,16.97,0.022858758549190616,15.747857142857143,15.662666666666667
2017-01-25,2017,1,25,Wednesday,04,2017-04,17.15,17.23,16.79,16.96,77139000,16.96,-0.0005499330562692695,15.87857142857143,15.74375
