,ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p,Date,Model
0,SPY,ATR,107.31776510234558,116.509536087547,0.0116640786982556,0.503503040525914,,,date_config4,LSTM
1,SPY,SD_Returns,100.2725948669501,116.509536087547,0.0288993190596933,1.1444703573335195,32.127836627847444,1.801837830589739e-226,date_config4,LSTM
2,SPY,SD_Prices,103.73215759180742,116.509536087547,0.0035915318416095,0.3276014638917007,15.010943064939696,6.22562161263911e-51,date_config4,LSTM
3,SPY,IQR,109.63435617589032,116.509536087547,0.0038320985224622,0.3442652069955292,32.18326032772725,3.026759244546862e-227,date_config4,LSTM
4,XLB,ATR,104.20799404470054,95.150406039117,0.0010840725077797,0.0759297789628645,,,date_config4,LSTM
5,XLB,SD_Returns,99.81191960108856,95.150406039117,0.0015091266591485,0.159430475293577,16.949239589047057,1.9495900614490173e-64,date_config4,LSTM
6,XLB,SD_Prices,100.0,95.150406039117,0.0019711209320197,0.2086956568674398,-9.027751438966105,1.7523531913415334e-19,date_config4,LSTM
7,XLB,IQR,96.0355784053855,95.150406039117,0.0025821023668904,0.4249053856701473,16.716672855820484,9.909958835170784e-63,date_config4,LSTM
8,XLE,ATR,105.1074092331288,101.8277066356228,0.0005914747997707,0.0488507380459873,,,date_config4,LSTM
9,XLE,SD_Returns,100.71941404386712,101.8277066356228,0.0013186538865635,0.1526735990738781,16.73783141240252,6.947345557125627e-63,date_config4,LSTM
10,XLE,SD_Prices,104.74162983457428,101.8277066356228,0.0007672565579463,0.1799728619762582,-10.059321835012408,8.357203476103309e-24,date_config4,LSTM
11,XLE,IQR,100.40147114087311,101.8277066356228,0.002089688386349,0.2921146322870699,16.438453611193893,1.014753086239442e-60,date_config4,LSTM
12,XLF,ATR,110.69552854531354,120.09391992090954,0.0021698851040312,0.1501444816629359,,,date_config4,LSTM
13,XLF,SD_Returns,112.33417848527706,120.09391992090954,0.001486024243864,0.2587213528756573,20.026065718600663,3.264527350190303e-89,date_config4,LSTM
14,XLF,SD_Prices,111.14948090465468,120.09391992090954,0.0014584096895078,0.2359768678681873,-0.5356865437474031,0.592175205062324,date_config4,LSTM
15,XLF,IQR,107.25503400075246,120.09391992090954,0.0021646707511896,0.2973868108312968,19.846924407410334,1.1715593852689062e-87,date_config4,LSTM
16,XLI,ATR,103.93931462882628,109.68595041322314,0.0018954988170443,0.1261317904459992,,,date_config4,LSTM
17,XLI,SD_Returns,109.8826911307392,109.68595041322314,0.0019513729935983,0.2010401642903076,18.87021393130457,2.004852558669755e-79,date_config4,LSTM
18,XLI,SD_Prices,107.51293794368576,109.68595041322314,0.0017847268291864,0.2325303119440732,-3.171907335594259,0.0015144132085342,date_config4,LSTM
19,XLI,IQR,112.41577311198104,109.68595041322314,0.0018362923453966,0.3137058569018961,18.81230167587731,5.988056330791475e-79,date_config4,LSTM
20,XLK,ATR,109.17955553946152,114.5585305408426,0.0177206197771327,0.6358405886729325,,,date_config4,LSTM
21,XLK,SD_Returns,106.70195924027232,114.5585305408426,0.0081822644782323,0.3605616410833739,40.95958920392019,0.0,date_config4,LSTM
22,XLK,SD_Prices,108.33403542847952,114.5585305408426,0.0066799120264183,0.4211513519852615,14.888250414778836,3.92917359381031e-50,date_config4,LSTM
23,XLK,IQR,108.1342156207047,114.5585305408426,0.007338233493634,0.5116494228140348,40.944989197137694,0.0,date_config4,LSTM
24,XLP,ATR,99.78981206726014,104.7192513368984,0.0019156599927854,0.0984859487119816,,,date_config4,LSTM
25,XLP,SD_Returns,101.08383389919038,104.7192513368984,0.001990754088615,0.1594985149931793,22.37256543669544,7.282603452747008e-111,date_config4,LSTM
26,XLP,SD_Prices,100.91391401985167,104.7192513368984,0.0015643500572416,0.1993461763277085,-2.300219646600803,0.0214357793110639,date_config4,LSTM
27,XLP,IQR,101.06896102203105,104.7192513368984,0.0038641309853436,0.2920649091280675,22.211363780209357,2.6671818960709605e-109,date_config4,LSTM
28,XLV,ATR,99.86376364477807,95.17808219178082,0.0009423705937515,0.0757201393963076,,,date_config4,LSTM
29,XLV,SD_Returns,98.61493956790952,95.17808219178082,0.0075520808764107,0.7015402909394916,17.62442452689089,1.5998830918104498e-69,date_config4,LSTM
30,XLV,SD_Prices,100.0,95.17808219178082,0.0011644822191978,0.2105441166112578,-6.217966312192954,5.036396495358103e-10,date_config4,LSTM
31,XLV,IQR,100.0,95.17808219178082,0.0023973895968766,0.2910898107847225,17.957679914890445,4.1791430038480723e-72,date_config4,LSTM
32,XLY,ATR,121.09296253145064,122.88107931672288,0.003346520140962,0.1762226813581024,,,date_config4,LSTM
33,XLY,SD_Returns,118.54673681847362,122.88107931672288,0.0014333562490035,0.226030362046587,15.957790463543056,2.5147778060151415e-57,date_config4,LSTM
34,XLY,SD_Prices,117.32227427407972,122.88107931672288,0.0025870642853615,0.2794178591367961,-1.4889105653062251,0.1365109210329884,date_config4,LSTM
35,XLY,IQR,116.73926142802964,122.88107931672288,0.0045038705329122,0.3876737232616926,15.917266945821789,4.80930311179938e-57,date_config4,LSTM
36,XLU,ATR,103.6357307559849,123.68421052631578,0.0040874570753273,0.1383430677747682,,,date_config4,LSTM
37,XLU,SD_Returns,113.07450980392156,123.68421052631578,0.0029572139154884,0.2084854292870862,26.113638518684496,2.552301298698994e-150,date_config4,LSTM
38,XLU,SD_Prices,102.49605612821102,123.68421052631578,0.0029836604900779,0.2414770575867723,-4.834348866714852,1.33582144832894e-06,date_config4,LSTM
39,XLU,IQR,109.02103691515654,123.68421052631578,0.002560339803299,0.2262370599858334,26.023624968362583,2.6761609460866854e-149,date_config4,LSTM
0,SPY,ATR,107.31776510234558,116.509536087547,0.0111023091519821,0.5122085242144058,,,date_config4,RNN
1,SPY,SD_Returns,100.2725948669501,116.509536087547,0.0288000589153647,1.1654864092078396,36.5226881523244,4.840407576650987e-292,date_config4,RNN
2,SPY,SD_Prices,104.26349512053784,116.509536087547,0.0023073938633923,0.2445099462894376,23.639573877363738,1.5109594523361623e-123,date_config4,RNN
3,SPY,IQR,109.6959737021018,116.509536087547,0.0038529070713072,0.3101903003369107,36.5891314097019,4.2583230328314467e-293,date_config4,RNN
4,XLB,ATR,102.42066570569096,95.150406039117,0.0018049031433863,0.1105532286202044,,,date_config4,RNN
5,XLB,SD_Returns,100.79285057649662,95.150406039117,0.0042127785054373,0.2351692236796692,22.58892965838264,5.568035930323146e-113,date_config4,RNN
