ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE
XLB,ATR,1053.8338758024674,1030.0954245167607,0.16901260884512267,0.3260870312011614
XLB,Squared_Returns,990.5199994740731,1030.0954245167607,9.512522997504436e-05,0.8660117970873176
XLB,SD_Prices,896.3830238873779,1030.0954245167607,0.18989718762917915,0.30943726221015916
XLE,ATR,869.0554033100199,1257.9542075527802,0.00845621040958546,0.0463437303942856
XLE,Squared_Returns,934.5149813107035,1257.9542075527802,7.518123224995463e-05,0.5307767936939822
XLE,SD_Prices,1010.0494466154096,1257.9542075527802,0.06709087096322547,0.18500528625376453
XLF,ATR,848.9147037623425,985.8379228953579,0.0035430644892453806,0.05304239253989714
XLF,Squared_Returns,1000.0,985.8379228953579,0.00027792528634575835,2.128342739216718
XLF,SD_Prices,726.6761758437835,985.8379228953579,0.02829267296328718,0.2073056897811202
XLI,ATR,1029.4254973114275,1146.8315301391035,0.26708785520353706,0.41558279737082393
XLI,Squared_Returns,1013.3050001133835,1146.8315301391035,4.14823785921705e-05,0.4010349913398959
XLI,SD_Prices,957.5790753026729,1146.8315301391035,0.14152933066831283,0.258697232196133
XLP,ATR,996.6249339272312,975.6658104637015,0.02724564222144557,0.1167198075914915
XLP,Squared_Returns,1000.0,975.6658104637015,0.0001269513678479797,0.5799881162658236
XLP,SD_Prices,906.9145105118517,975.6658104637015,0.07234550058229759,0.1842274869276984
XLV,ATR,989.8786399011269,1090.9660738070988,0.03946733296591037,0.12258012360117937
XLV,Squared_Returns,987.7849972329697,1090.9660738070988,4.8490409657181466e-05,1.2392661654430979
XLV,SD_Prices,998.151836005611,1090.9660738070988,0.08175602490360424,0.1772527739377647
XLY,ATR,982.4200493308838,994.5755669686653,0.4939347500423352,0.28775452739877966
XLY,Squared_Returns,972.9899928586941,994.5755669686653,0.00030253492511541795,1.4399978568554817
XLY,SD_Prices,979.6641583868111,994.5755669686653,0.40433598245014335,0.22913820269552923
XLU,ATR,737.8147633153059,972.1760169363376,0.029749294313490406,0.11584483405269992
XLU,Squared_Returns,1000.0,972.1760169363376,0.00041797438270106273,2.282059392968699
XLU,SD_Prices,880.3397785888526,972.1760169363376,0.09493359515143598,0.23605418818328597
