ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE
XLB,ATR,1497.869221894725,1631.466770005813,0.2257493578189545,0.3033279728029684
XLB,Squared_Returns,1032.4700350825258,1631.466770005813,0.0007548941544260921,4.625773544119299
XLB,SD_Prices,1282.4452084659692,1631.466770005813,0.2765911189520294,0.32865625482875427
XLE,ATR,1367.9365163422058,1928.2133090246123,0.020977440951810762,0.07007495368110397
XLE,Squared_Returns,1000.0,1928.2133090246123,0.0007817062280333019,0.6923022642071051
XLE,SD_Prices,954.9611245971307,1928.2133090246123,0.10325106381460857,0.20030745957582735
XLF,ATR,1110.9526626604963,1423.8636363636367,0.009757289197860827,0.0810635276017032
XLF,Squared_Returns,1056.9550117127033,1423.8636363636367,0.0003521775907549536,1.1434388902565458
XLF,SD_Prices,1108.7102749878327,1423.8636363636367,0.048852990069773554,0.20231783537492054
XLI,ATR,1647.0678595105944,1542.192046556741,0.5202906283718471,0.4712225126232596
XLI,Squared_Returns,1131.9150795590726,1542.192046556741,0.000745980675651941,4.33649138095215
XLI,SD_Prices,1773.6797502079448,1542.192046556741,0.7606953817334081,0.5204160720139575
XLP,ATR,1340.0604673182313,1248.3999308078187,0.5108568587731946,0.6276450299122698
XLP,Squared_Returns,1019.3700004428439,1248.3999308078187,0.0007891733352762603,4.349333666144794
XLP,SD_Prices,1271.5201505280684,1248.3999308078187,0.49024707906067233,0.5589265975524619
XLV,ATR,1458.4376341986474,1524.2474001094693,1.4018983690009035,0.7785322531243805
XLV,Squared_Returns,1436.1302153099273,1524.2474001094693,0.0006190102242426144,0.7483163163438075
XLV,SD_Prices,1138.2621437266353,1524.2474001094693,1.167981421189196,0.7283130457981655
XLY,ATR,1490.4185709798933,1527.9255319148936,2.5748799282809163,0.7824324589811786
XLY,Squared_Returns,939.534998776804,1527.9255319148936,0.0012303072167100355,1.0695040295667149
XLY,SD_Prices,1700.3175423857967,1527.9255319148936,2.316623098817484,0.7424515515697003
XLU,ATR,1124.7982501309843,1022.748965956093,0.20718275769065786,0.24851845412169807
XLU,Squared_Returns,866.724988554901,1022.748965956093,0.00045138343724320553,0.7586503294984105
XLU,SD_Prices,1055.1553079591736,1022.748965956093,0.2873493310252193,0.27435791212302474
