ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
XLB,ATR,942.3990729225666,926.7015706806283,0.0006019144914167747,0.04502483618030848,,
XLB,SD_Squared_Returns,1000.0,926.7015706806283,0.013959530632270732,0.8767438089991634,18.896195892135015,1.2257826187789412e-79
XLB,SD_Prices,890.4839083739785,926.7015706806283,0.0003769690686973329,0.08609501170390663,-8.54913437048793,1.2401507279643274e-17
XLE,ATR,1003.5660141413221,991.8358090486449,0.0004824977656541278,0.032655729617506506,,
XLE,SD_Squared_Returns,1009.0079858166387,991.8358090486449,0.0011807344634493437,0.2702114191449593,16.051535565827074,5.5767059029331405e-58
XLE,SD_Prices,636.724945253007,991.8358090486449,0.0002527231111971766,0.06578903193884332,-8.200107907270288,2.4017134674051753e-16
XLF,ATR,1155.488121442335,1200.6424511984187,0.0004975056243717613,0.04750211886544624,,
XLF,SD_Squared_Returns,1127.7188957414535,1200.6424511984187,0.0015552256892392108,0.4043449703779463,14.849085481450757,7.052416068865609e-50
XLF,SD_Prices,1185.888063905321,1200.6424511984187,0.0009435815839363177,0.12159771581206674,-10.496985793473673,8.918245938083645e-26
XLI,ATR,1051.8680162940973,1088.5826771653544,0.0010018254276920962,0.07008652572682875,,
XLI,SD_Squared_Returns,2850.1586238507607,1088.5826771653544,0.0035257510756289815,1.072147821494119,17.54536088406499,6.454152575032382e-69
XLI,SD_Prices,1132.5127889803198,1088.5826771653544,0.0013160662953940322,0.13807749360459184,-8.549451288178476,1.2367505138685028e-17
XLK,ATR,1000.0,1142.1996124031007,0.019335800539260522,0.5762261921687117,,
XLK,SD_Squared_Returns,1012.871725214723,1142.1996124031007,0.002395716681774679,0.2545667115247889,40.061488192993835,0.0
XLK,SD_Prices,1055.9533522571683,1142.1996124031007,0.005945562097576466,0.34560589384707685,6.498415135801576,8.1170561761722e-11
XLP,ATR,960.4493884988083,1039.8247710075668,0.002312175966673848,0.08595163517294081,,
XLP,SD_Squared_Returns,1013.9324960753532,1039.8247710075668,0.0022940558060887918,0.26667591864693346,25.714777464729085,7.989832185039773e-146
XLP,SD_Prices,1024.4327638565555,1039.8247710075668,0.0006493673510130913,0.09416801542208246,-0.7168988967445116,0.4734364827733645
XLV,ATR,931.6767699267225,951.129363449692,0.0020501178224273694,0.09465668733761037,,
XLV,SD_Squared_Returns,807.7991906531929,951.129363449692,0.0016236350414136264,0.6973290628056112,27.106218421917404,8.317282409066366e-162
XLV,SD_Prices,998.9164957248809,951.129363449692,0.000619000270329141,0.14284099619412421,-4.771382194358843,1.8296598260668783e-06
XLY,ATR,1024.1235537207206,1256.214893498693,0.0028036345871484307,0.154397935209279,,
XLY,SD_Squared_Returns,996.7676005698395,1256.214893498693,0.005731757424427683,0.8159737760382952,20.12635744411524,4.337295978177065e-90
XLY,SD_Prices,1108.4113127237065,1256.214893498693,0.00126415778374016,0.13258536509032087,-1.0260496310509035,0.30486819048036595
XLU,ATR,1033.3134714205212,1210.8074143889412,0.003910857096020788,0.10553726971397753,,
XLU,SD_Squared_Returns,1079.9625164115528,1210.8074143889412,0.0019030628854334436,0.2562803809205227,26.830596208090085,1.4208846725261013e-158
XLU,SD_Prices,1047.0658222635984,1210.8074143889412,0.0008269505481445849,0.11443719075950141,-2.3388724615041516,0.0193420351141321
