ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
XLB,ATR,1053.5108102007246,1026.7040604804292,0.004292396941621626,0.19584838012321348,,
XLB,SD_Squared_Returns,1018.898417511052,1026.7040604804292,0.010989962165587841,2.1951924539865266,34.1103250792189,5.185213943737127e-255
XLB,SD_Prices,962.9495252115275,1026.7040604804292,0.0017029348403042564,0.22399053648673095,4.8329728212165275,1.3450915671484288e-06
XLE,ATR,966.1870366687732,1010.1480420248328,0.0005049206411168516,0.05309262852446247,,
XLE,SD_Squared_Returns,809.9286566644635,1010.1480420248328,0.001096145264599286,0.40828016486805174,15.297051748857177,7.999936255737202e-53
XLE,SD_Prices,922.9326034719401,1010.1480420248328,0.0011117499337538275,0.20286809191103672,-9.690370165222925,3.3132563539496003e-22
XLF,ATR,1070.6969051814401,1057.0866141732283,0.000179675327748818,0.05140211067970312,,
XLF,SD_Squared_Returns,1059.0641410311212,1057.0866141732283,0.0014837683317183352,0.7290346835636135,15.606824134318629,6.541303663638429e-55
XLF,SD_Prices,1057.3757958668443,1057.0866141732283,0.0009074066381389347,0.2324677132430822,-8.22315194175666,1.9822344766383306e-16
XLI,ATR,1000.0,1103.2910388580492,0.016684555629445316,0.37402485874679847,,
XLI,SD_Squared_Returns,1096.179575727298,1103.2910388580492,0.003095934460410581,0.44635724872921495,40.75450287665058,0.0
XLI,SD_Prices,938.0204573672769,1103.2910388580492,0.00587729791842661,0.31552047660728827,6.815293872133919,9.407126674257863e-12
XLK,ATR,1000.0,1348.4404744472104,0.042400520196633734,0.4678585328170537,,
XLK,SD_Squared_Returns,10714.445317167512,1348.4404744472104,0.11903185580056481,4.892731060438443,54.756781894915996,0.0
XLK,SD_Prices,1047.929922881348,1348.4404744472104,0.0033568775487710797,0.2573220081608363,20.22440983015232,5.970049844211502e-91
XLP,ATR,1000.0,1005.013229355243,0.035705006042168835,0.445834961401797,,
XLP,SD_Squared_Returns,330.064197781845,1005.013229355243,0.023978003267749057,2.052179504012333,59.62292607857227,0.0
XLP,SD_Prices,1024.8259031964103,1005.013229355243,0.009667974731535316,0.41619126325292827,9.558078084704979,1.1996370191835911e-21
XLV,ATR,1000.0,1100.1896333754742,0.04820957572218527,0.550942220015712,,
XLV,SD_Squared_Returns,6025.115871582937,1100.1896333754742,0.04630581465853439,2.674853575448732,58.54310399527847,0.0
XLV,SD_Prices,1036.9661889691279,1100.1896333754742,0.007760717207514678,0.3251682626152249,17.99900284740663,1.9835812776462837e-72
XLY,ATR,1000.0,1188.4567645841953,0.10575119128160024,0.76455486714537,,
XLY,SD_Squared_Returns,1000.0,1188.4567645841953,0.37875431730917497,6.880324051303851,92.41799123187927,0.0
XLY,SD_Prices,1005.9842738849071,1188.4567645841953,0.011967497751069632,0.5687299141255956,17.11244447270519,1.1986184729429831e-65
XLU,ATR,1051.7896341782032,994.2777605938759,0.001663974063608965,0.10124271788060044,,
XLU,SD_Squared_Returns,1000.0,994.2777605938759,0.00438556208441536,1.4424096766447276,18.686090553940318,6.425231531460517e-78
XLU,SD_Prices,894.8762853876134,994.2777605938759,0.0018074747576173197,0.20442438011541036,-4.449755998031859,8.59679031386685e-06
