ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
XLB,ATR,966.4852242959025,951.5040603911699,0.0015032694269741388,0.10106065795941928,,
XLB,SD_Squared_Returns,944.7172552277063,951.5040603911699,0.01567867748895116,0.5244134441778047,20.86802716664768,1.0456065675896989e-96
XLB,SD_Prices,899.2708998075548,951.5040603911699,0.0012268904086222938,0.17709746389618747,-3.3999065134302553,0.0006740889598593044
XLB,IQR,985.7668137762416,951.5040603911699,0.0038552884578952947,0.34317877211876263,21.32562314047867,6.567318882742914e-101
XLE,ATR,995.9626472349113,1018.2770663562281,0.0004853072752658742,0.04559811394937114,,
XLE,SD_Squared_Returns,956.6531481629621,1018.2770663562281,0.0015533320680795213,0.1799793076539608,16.76554210858836,4.360192166347417e-63
XLE,SD_Prices,1022.2159975924607,1018.2770663562281,0.0009271743939385269,0.18701226456994477,-9.741813865560555,1.999529146647051e-22
XLE,IQR,964.3383254018136,1018.2770663562281,0.002095616623006514,0.31229871116691654,16.035268878737654,7.246926543144043e-58
XLF,ATR,1052.6157363238235,1200.9391992090955,0.0014252452963503558,0.11737181101910722,,
XLF,SD_Squared_Returns,1034.7310808626726,1200.9391992090955,0.0021382796999715728,0.23067274453066502,17.633659808726748,1.3587984775167817e-69
XLF,SD_Prices,1114.1726420654236,1200.9391992090955,0.0015368863978057342,0.19626423332564294,-4.208130367049631,2.5749230567567392e-05
XLF,IQR,1001.232743366846,1200.9391992090955,0.002331179622584834,0.48126500940994965,16.13325775303618,1.4895179920485707e-58
XLI,ATR,1134.4804114910833,1096.8595041322312,0.0029935529038429267,0.19716135903505944,,
XLI,SD_Squared_Returns,1063.774524377832,1096.8595041322312,0.009510918392090256,0.5975396192892627,30.660097370866474,1.9385289087445662e-206
XLI,SD_Prices,1071.650208144914,1096.8595041322312,0.0015643655457999507,0.203019380647433,4.340154795778271,1.4238238050528366e-05
XLI,IQR,1041.409846185779,1096.8595041322312,0.002351274851750318,0.2828366575822157,31.01227447453311,3.6827475119285277e-211
XLK,ATR,1128.316028485391,1145.5853054084262,0.015811734892379303,0.5979484218044075,,
XLK,SD_Squared_Returns,1040.0320784652038,1145.5853054084262,0.011181783298666804,0.5620906466791095,40.05621060355751,0.0
XLK,SD_Prices,1022.227862395776,1145.5853054084262,0.00813709747821841,0.5664907190311723,8.388370446145798,4.9292686976601327e-17
XLK,IQR,1043.3221687438206,1145.5853054084262,0.004640867354625203,0.397967272262279,40.2014042124489,0.0
XLP,ATR,988.5155862148432,1047.192513368984,0.0018322151261085764,0.094617880779309,,
XLP,SD_Squared_Returns,1028.6182967987359,1047.192513368984,0.00362137856248932,0.21331077887790592,21.224795624045633,5.637076571880997e-100
XLP,SD_Prices,985.7528065037197,1047.192513368984,0.0009030726911908659,0.16253614804297328,1.0928443404636243,0.2744621496670234
XLP,IQR,1007.2289764365514,1047.192513368984,0.002433798403484613,0.24876472109746978,20.9380807978997,2.4097216131411696e-97
XLV,ATR,910.6267912223644,951.7808219178082,0.0004016966144898939,0.04984232976778244,,
XLV,SD_Squared_Returns,966.8280668738072,951.7808219178082,0.0014178273197689465,0.1752353928955114,16.68602212101117,1.6564652607702424e-62
XLV,SD_Prices,970.7031839142542,951.7808219178082,0.000926562000987437,0.18827131134244934,-8.842761846641453,9.338112847622167e-19
XLV,IQR,985.4427938079759,951.7808219178082,0.0030641166968512186,0.49119781506294985,16.04126494013027,6.58003466206857e-58
XLY,ATR,1083.5150996961352,1228.810793167229,0.0023797401565463956,0.16503781789361638,,
XLY,SD_Squared_Returns,1097.5718372928823,1228.810793167229,0.011297154983624729,0.6188459552299885,18.034362969761098,1.0469499238954926e-72
XLY,SD_Prices,1179.774764046492,1228.810793167229,0.0018733793815257555,0.22090825579139914,-0.11204532839940372,0.9107874659611401
XLY,IQR,1133.0990730989797,1228.810793167229,0.0041790945619856815,0.36830682041244417,18.14998237104787,1.2844208165921358e-73
XLU,ATR,1014.0427218669214,1236.842105263158,0.0017462567400366904,0.08857608752610131,,
XLU,SD_Squared_Returns,1146.552658028923,1236.842105263158,0.007275225118566842,0.3703926234639951,21.920140866785943,1.6694000788811698e-106
XLU,SD_Prices,1032.1924499189358,1236.842105263158,0.0017077913219799151,0.19332241265465336,-5.576911658424857,2.448261194899226e-08
XLU,IQR,1092.3957530099256,1236.842105263158,0.0048062276174970445,0.347751174572006,21.630323116411653,9.31286744844957e-104
