ETF,Metric,Final_Value,Passive_Potential,Relative_MSE
XLB,ATR,1051.459403797855,1030.0954245167607,0.9869514144147976
XLB,Squared_Returns,1000.0,1030.0954245167607,0.5734591226817846
XLE,ATR,861.1085478197808,1257.9542075527802,0.04918608469910908
XLE,Squared_Returns,854.3749626384911,1257.9542075527802,0.2191414009004799
XLF,ATR,837.852820003052,985.8379228953579,0.07432583998798198
XLF,Squared_Returns,968.2499997459964,985.8379228953579,0.33342448192165175
XLI,ATR,1097.1555972029432,1146.8315301391035,1.2988361436129843
XLI,Squared_Returns,1000.0,1146.8315301391035,4.525362796590562
XLP,ATR,966.5460779355499,975.6658104637015,0.5661231515445749
XLP,Squared_Returns,1000.0,975.6658104637015,0.4069507179133623
XLV,ATR,995.7267365538771,1090.9660738070988,0.5825486469758215
XLV,Squared_Returns,974.8499978788576,1090.9660738070988,0.9010338164593303
XLY,ATR,982.4067325160389,994.5755669686653,1.3675067932158373
XLY,Squared_Returns,978.749996376293,994.5755669686653,0.667287058976207
XLU,ATR,751.5850518366993,972.1760169363376,0.6115370121836178
XLU,Squared_Returns,998.0999999423352,972.1760169363376,0.4209742461791654
