ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
XLB,ATR,1028.8423862246248,1030.0954245167607,0.004570423636611298,0.38610859845890744,,
XLB,Squared_Returns,1028.8399994959414,1030.0954245167607,0.0016065067110052269,1.7349723477735952,1.796333052375843e-15,0.9999999999999986
XLB,SD_Prices,1028.8315916795104,1030.0954245167607,0.0017683029104062975,0.3437252680852638,8.872198067464869e-17,0.9999999999999999
XLE,ATR,1222.3677438573502,1257.9542075527802,0.00014038053275695155,0.052706048473718965,,
XLE,Squared_Returns,1220.6702697109286,1257.9542075527802,0.00042942597939144207,0.38198918579112096,-4.345261106675616e-15,0.9999999999999966
XLE,SD_Prices,1222.2543734742335,1257.9542075527802,0.00036699267812108154,0.18169673043484832,2.3501891766963963e-16,0.9999999999999998
XLF,ATR,1006.2604380193077,985.8379228953579,0.00022029916390454987,0.07508372317328266,,
XLF,Squared_Returns,1006.0550194303041,985.8379228953579,0.0005630701539804539,0.6515029784569655,6.712368832633458e-15,0.9999999999999947
XLF,SD_Prices,1006.4731829195108,985.8379228953579,0.000533076993866878,0.21274347423285264,-1.0242973649991253e-15,0.9999999999999992
XLI,ATR,996.4863316855651,1146.8315301391035,0.005732890865569436,0.4182321690712407,,
XLI,Squared_Returns,995.1199995464071,1146.8315301391035,0.0008911146810176205,0.4651814800450609,3.3626849752603994e-15,0.9999999999999973
XLI,SD_Prices,995.960612094434,1146.8315301391035,0.001642195675800334,0.29553205474957667,-2.9607166968468736e-16,0.9999999999999998
XLP,ATR,1049.626830182949,975.6658104637015,0.0006880426868059444,0.12443901787847063,,
XLP,Squared_Returns,1049.260089992119,975.6658104637015,0.0007721234762104686,0.7041642112435128,3.214484095408785e-15,0.9999999999999974
XLP,SD_Prices,1049.3334134822521,975.6658104637015,0.0011655690983421606,0.2508521627991245,-2.473146678678666e-16,0.9999999999999998
XLV,ATR,1055.0901970889602,1090.9660738070988,0.001291628221867334,0.18998253542458504,,
XLV,Squared_Returns,1053.6650117616841,1090.9660738070988,0.0011275226061300745,1.0965857153189464,5.434721819615056e-15,0.9999999999999957
XLV,SD_Prices,1054.753846135912,1090.9660738070988,0.0009116924664523918,0.212978687587046,-8.297147128726934e-16,0.9999999999999993
XLY,ATR,980.9615384721799,994.5755669686653,0.003061423410863971,0.3092888583922064,,
XLY,Squared_Returns,981.189950141129,994.5755669686653,0.0006170460065351958,0.552742378589963,1.5855283021442617e-15,0.9999999999999988
XLY,SD_Prices,981.175839411958,994.5755669686653,0.0020924916468878048,0.3561422982302646,7.008106326519906e-16,0.9999999999999994
XLU,ATR,1158.830745487966,972.1760169363376,0.001300670579573841,0.1508744645262771,,
XLU,Squared_Returns,1161.2251315358285,972.1760169363376,0.004176220795678961,2.855556175824044,1.443856237710452e-14,0.9999999999999885
XLU,SD_Prices,1158.9039073870467,972.1760169363376,0.0009432465939853418,0.2533024243296249,-1.3656840722288372e-16,0.9999999999999999
