,ETF,1,1.25,1.5,1.75,2,2.25,2.5
0,AVGO,atr: 1023,atr: 1240,atr: 1380,mad: 834,iqr_med: 1336,sd: 2335,iqr: 2216
1,ORCL,mad_med: 2445,mad: 1767,mad_med: 2053,iqr_med: 1406,mad: 1275,sd: 1143,mad_med: 1422
2,NEM,atr: 880,atr: 659,mad_med: 732,iqr: 1109,sd: 624,mad_med: 896,mad: 555
3,UNH,atr: 6854,atr: 7295,atr: 4349,sd: 5251,sd: 6618,mad_med: 6850,mad_med: 4630
4,LIN,mad_med: 4050,mad: 4106,iqr_med: 3245,iqr_med: 3283,sd: 4004,mad_med: 3046,mad_med: 4116
5,CEG,atr: 214,sd: 199,mad_med: 182,mad_med: 176,mad_med: 186,sd: 155,mad: 173
6,AMZN,iqr_med: 1623,mad_med: 1301,atr: 4819,atr: 4371,mad_med: 2633,atr: 2590,mad: 608
7,CAT,iqr_med: 611,iqr: 752,iqr_med: 1519,iqr: 1260,sd: 1180,sd: 798,mad_med: 1331
8,CVX,iqr_med: 429,iqr_med: 652,iqr: 601,atr: 832,sd: 524,mad_med: 633,sd: 864
9,LLY,iqr_med: 889,sd: 979,sd: 963,iqr_med: 1113,sd: 1389,mad_med: 913,mad_med: 983
10,COP,atr: 519,iqr_med: 678,mad: 519,mad: 508,iqr: 797,sd: 698,iqr: 993
11,RTX,iqr: 444,atr: 573,iqr_med: 1010,iqr_med: 1039,iqr_med: 994,mad: 713,mad_med: 672
12,V,iqr: 1534,iqr: 2010,iqr: 2037,iqr: 2019,mad: 2113,mad: 1536,mad: 1467
13,COST,mad: 2169,mad: 1605,mad_med: 1277,sd: 950,sd: 1446,mad: 1216,atr: 1278
14,JNJ,iqr: 488,atr: 589,atr: 515,mad: 493,mad_med: 535,sd: 578,mad_med: 629
15,MSFT,sd: 630,mad: 681,atr: 1326,atr: 718,iqr: 1333,iqr_med: 1102,iqr_med: 874
16,BA,atr: 144,sd: 108,mad_med: 133,atr: 152,iqr: 103,iqr: 239,iqr: 497
17,NEE,iqr: 1508,iqr: 1825,mad_med: 1223,mad: 1440,mad_med: 1821,mad_med: 1514,mad_med: 868
18,AAPL,sd: 870,iqr: 1275,iqr: 1439,iqr_med: 2748,iqr: 19157,iqr: 10211,iqr_med: 5651
19,XOM,sd: 695,mad_med: 694,sd: 618,mad_med: 518,iqr: 651,iqr: 486,sd: 407
20,ACN,iqr_med: 1256,mad: 1117,atr: 1712,atr: 2941,iqr_med: 1342,sd: 1174,sd: 1783
21,NVDA,sd: 18017,mad: 16889,mad: 10419,mad_med: 5542,mad_med: 9506,mad_med: 6926,sd: 25695
22,JPM,iqr_med: 610,atr: 678,iqr_med: 1438,iqr: 7915,iqr_med: 2199,mad_med: 1633,mad: 2118
23,WFC,mad_med: 2066,mad_med: 1811,mad_med: 683,mad: 726,mad_med: 983,mad: 795,mad_med: 936
24,PG,iqr: 343,iqr: 440,atr: 472,iqr_med: 908,iqr: 752,iqr_med: 903,iqr_med: 671
25,HD,atr: 484,atr: 445,iqr_med: 933,iqr_med: 1412,iqr: 1859,iqr_med: 1264,iqr: 1186
26,SO,mad_med: 834,mad: 664,mad_med: 599,iqr: 546,iqr_med: 707,sd: 616,sd: 738
27,SHW,mad_med: 3385,sd: 2622,mad: 2638,mad: 2351,atr: 2061,sd: 3956,atr: 3692
28,WMT,mad_med: 1053,mad: 767,mad_med: 777,mad: 845,mad_med: 762,mad: 926,mad: 863
29,TSLA,mad_med: 533,mad_med: 539,atr: 426,iqr_med: 1154,iqr: 713,sd: 3715,atr: 1029
