ETF,Metric,Final_Value,Passive_Potential,Relative_MSE
XLB,ATR,1012.9671589339414,1030.0954245167607,0.40737843647223143
XLB,Squared_Returns,1000.0,1030.0954245167607,0.6375107437831637
XLE,ATR,880.7568231033921,1257.9542075527802,0.07519853799190532
XLE,Squared_Returns,938.914986520232,1257.9542075527802,0.20020613128997122
XLF,ATR,821.7400924513153,985.8379228953579,0.09509273803079675
XLF,Squared_Returns,895.2449885496387,985.8379228953579,0.2508904341060929
XLI,ATR,1121.4363320121965,1146.8315301391035,1.2059340045281464
XLI,Squared_Returns,1000.0,1146.8315301391035,0.7428407144129178
XLP,ATR,952.6974777199424,975.6658104637015,0.15462199843757732
XLP,Squared_Returns,1000.0,975.6658104637015,0.33479326924455655
XLV,ATR,977.5765850157643,1090.9660738070988,0.5292767617998717
XLV,Squared_Returns,896.9249748327209,1090.9660738070988,1.1036188541339929
XLY,ATR,982.4171818715085,994.5755669686653,1.7736719939309395
XLY,Squared_Returns,1194.0250400824543,994.5755669686653,0.5563676093438824
XLU,ATR,752.9098602366017,972.1760169363376,0.3755530133229243
XLU,Squared_Returns,941.0249930193995,972.1760169363376,0.3233711525145878
