Metric,model_type,date_config,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
ATR,LSTM,"train: start 1990-01-05, end 2010-01-05; test: start 2023-01-05, end 2024-01-05",FV: 1035.057; PP: 1026.704; RelMSE: 0.006; MAPE: 0.199,FV: 965.421; PP: 1010.148; RelMSE: 0.001; MAPE: 0.074,FV: 1109.428; PP: 1057.087; RelMSE: 0.001; MAPE: 0.121,FV: 1000.000; PP: 1103.291; RelMSE: 0.023; MAPE: 0.443,FV: 1017.032; PP: 1348.440; RelMSE: 0.016; MAPE: 0.279,FV: 1000.000; PP: 1005.013; RelMSE: 0.022; MAPE: 0.337,FV: 1093.755; PP: 994.278; RelMSE: 0.004; MAPE: 0.187,FV: 1000.000; PP: 1100.190; RelMSE: 0.067; MAPE: 0.650,FV: 1000.000; PP: 1188.457; RelMSE: 0.118; MAPE: 0.799
ATR,LSTM,"train: start 2000-01-05, end 2024-01-05; test: start 2024-01-05, end 2025-01-05",FV: 976.299; PP: 951.504; RelMSE: 0.001; MAPE: 0.083,FV: 1019.901; PP: 1018.277; RelMSE: 0.001; MAPE: 0.054,FV: 1068.489; PP: 1200.939; RelMSE: 0.001; MAPE: 0.079,FV: 1011.677; PP: 1096.860; RelMSE: 0.002; MAPE: 0.115,FV: 1000.000; PP: 1145.585; RelMSE: 0.018; MAPE: 0.643,FV: 996.717; PP: 1047.193; RelMSE: 0.002; MAPE: 0.107,FV: 997.303; PP: 1236.842; RelMSE: 0.004; MAPE: 0.143,FV: 995.127; PP: 951.781; RelMSE: 0.002; MAPE: 0.113,FV: 995.107; PP: 1228.811; RelMSE: 0.003; MAPE: 0.209
ATR,LSTM,"train: start 2001-01-01, end 2020-01-01; test: start 2022-01-02, end 2024-01-05",FV: 1000.000; PP: 1030.095; RelMSE: 0.003; MAPE: 0.356,FV: 835.254; PP: 1257.954; RelMSE: 0.000; MAPE: 0.052,FV: 1074.757; PP: 985.838; RelMSE: 0.000; MAPE: 0.078,FV: 1000.000; PP: 1146.832; RelMSE: 0.006; MAPE: 0.394,FV: 1000.000; PP: 1207.593; RelMSE: 0.015; MAPE: 0.690,FV: 1037.505; PP: 975.666; RelMSE: 0.001; MAPE: 0.214,FV: 1058.871; PP: 972.176; RelMSE: 0.002; MAPE: 0.205,FV: 1021.105; PP: 1090.966; RelMSE: 0.002; MAPE: 0.242,FV: 1032.862; PP: 994.576; RelMSE: 0.003; MAPE: 0.305
ATR,LSTM,"train: start 2005-01-05, end 2010-01-05; test: start 2020-01-05, end 2024-01-05",FV: 1012.055; PP: 1631.467; RelMSE: 0.002; MAPE: 0.388,FV: 1148.951; PP: 1928.213; RelMSE: 0.000; MAPE: 0.096,FV: 1179.223; PP: 1423.864; RelMSE: 0.000; MAPE: 0.089,FV: 1000.000; PP: 1542.192; RelMSE: 0.002; MAPE: 0.491,FV: 1000.000; PP: 2187.032; RelMSE: 0.006; MAPE: 0.817,FV: 1000.000; PP: 1248.400; RelMSE: 0.001; MAPE: 0.422,FV: 1070.450; PP: 1022.749; RelMSE: 0.001; MAPE: 0.220,FV: 1000.000; PP: 1524.247; RelMSE: 0.005; MAPE: 0.847,FV: 1000.000; PP: 1527.926; RelMSE: 0.005; MAPE: 0.737
ATR,RNN,"train: start 1990-01-05, end 2010-01-05; test: start 2023-01-05, end 2024-01-05",FV: 1035.120; PP: 1026.704; RelMSE: 0.004; MAPE: 0.182,FV: 966.187; PP: 1010.148; RelMSE: 0.000; MAPE: 0.051,FV: 1032.245; PP: 1057.087; RelMSE: 0.000; MAPE: 0.048,FV: 1000.000; PP: 1103.291; RelMSE: 0.020; MAPE: 0.425,FV: 1000.000; PP: 1348.440; RelMSE: 0.028; MAPE: 0.379,FV: 1000.000; PP: 1005.013; RelMSE: 0.022; MAPE: 0.350,FV: 1056.103; PP: 994.278; RelMSE: 0.002; MAPE: 0.108,FV: 1000.000; PP: 1100.190; RelMSE: 0.050; MAPE: 0.565,FV: 1000.000; PP: 1188.457; RelMSE: 0.089; MAPE: 0.694
ATR,RNN,"train: start 2000-01-05, end 2024-01-05; test: start 2024-01-05, end 2025-01-05",FV: 1000.000; PP: 951.504; RelMSE: 0.003; MAPE: 0.150,FV: 1038.649; PP: 1018.277; RelMSE: 0.001; MAPE: 0.050,FV: 1062.686; PP: 1200.939; RelMSE: 0.001; MAPE: 0.077,FV: 980.631; PP: 1096.860; RelMSE: 0.002; MAPE: 0.145,FV: 1000.000; PP: 1145.585; RelMSE: 0.015; MAPE: 0.588,FV: 1002.214; PP: 1047.193; RelMSE: 0.002; MAPE: 0.113,FV: 967.636; PP: 1236.842; RelMSE: 0.002; MAPE: 0.079,FV: 987.483; PP: 951.781; RelMSE: 0.001; MAPE: 0.068,FV: 1022.690; PP: 1228.811; RelMSE: 0.003; MAPE: 0.171
ATR,RNN,"train: start 2001-01-01, end 2020-01-01; test: start 2022-01-02, end 2024-01-05",FV: 1035.120; PP: 1030.095; RelMSE: 0.002; MAPE: 0.235,FV: 722.870; PP: 1257.954; RelMSE: 0.000; MAPE: 0.044,FV: 1057.041; PP: 985.838; RelMSE: 0.000; MAPE: 0.055,FV: 1000.000; PP: 1146.832; RelMSE: 0.005; MAPE: 0.392,FV: 1000.000; PP: 1207.593; RelMSE: 0.014; MAPE: 0.648,FV: 1038.028; PP: 975.666; RelMSE: 0.001; MAPE: 0.227,FV: 1028.384; PP: 972.176; RelMSE: 0.001; MAPE: 0.144,FV: 956.863; PP: 1090.966; RelMSE: 0.000; MAPE: 0.070,FV: 960.632; PP: 994.576; RelMSE: 0.003; MAPE: 0.314
ATR,RNN,"train: start 2005-01-05, end 2010-01-05; test: start 2020-01-05, end 2024-01-05",FV: 967.331; PP: 1631.467; RelMSE: 0.002; MAPE: 0.408,FV: 805.286; PP: 1928.213; RelMSE: 0.000; MAPE: 0.058,FV: 1125.686; PP: 1423.864; RelMSE: 0.000; MAPE: 0.060,FV: 1000.000; PP: 1542.192; RelMSE: 0.003; MAPE: 0.597,FV: 1000.000; PP: 2187.032; RelMSE: 0.006; MAPE: 0.816,FV: 1000.000; PP: 1248.400; RelMSE: 0.002; MAPE: 0.618,FV: 1033.405; PP: 1022.749; RelMSE: 0.001; MAPE: 0.365,FV: 1000.000; PP: 1524.247; RelMSE: 0.004; MAPE: 0.738,FV: 1000.000; PP: 1527.926; RelMSE: 0.004; MAPE: 0.653
SD_Prices,LSTM,"train: start 1990-01-05, end 2010-01-05; test: start 2023-01-05, end 2024-01-05",FV: 954.102; PP: 1026.704; RelMSE: 0.004; MAPE: 0.300,FV: 976.275; PP: 1010.148; RelMSE: 0.002; MAPE: 0.239,FV: 1068.377; PP: 1057.087; RelMSE: 0.001; MAPE: 0.215,FV: 963.737; PP: 1103.291; RelMSE: 0.006; MAPE: 0.342,FV: 1028.771; PP: 1348.440; RelMSE: 0.004; MAPE: 0.308,FV: 1031.117; PP: 1005.013; RelMSE: 0.008; MAPE: 0.321,FV: 974.764; PP: 994.278; RelMSE: 0.004; MAPE: 0.274,FV: 1005.452; PP: 1100.190; RelMSE: 0.019; MAPE: 0.624,FV: 1005.984; PP: 1188.457; RelMSE: 0.019; MAPE: 0.793
SD_Prices,LSTM,"train: start 2000-01-05, end 2024-01-05; test: start 2024-01-05, end 2025-01-05",FV: 935.290; PP: 951.504; RelMSE: 0.001; MAPE: 0.180,FV: 1048.492; PP: 1018.277; RelMSE: 0.001; MAPE: 0.173,FV: 1170.686; PP: 1200.939; RelMSE: 0.002; MAPE: 0.270,FV: 1008.950; PP: 1096.860; RelMSE: 0.003; MAPE: 0.283,FV: 991.617; PP: 1145.585; RelMSE: 0.006; MAPE: 0.421,FV: 1022.356; PP: 1047.193; RelMSE: 0.001; MAPE: 0.204,FV: 1007.247; PP: 1236.842; RelMSE: 0.002; MAPE: 0.209,FV: 1018.972; PP: 951.781; RelMSE: 0.001; MAPE: 0.219,FV: 1079.197; PP: 1228.811; RelMSE: 0.003; MAPE: 0.250
